Number;ident;Latitude;Longitude;y_proj;x_proj;comment;Date;ltime
64;64;-7.530027778;-34.96102778;-7.530027778;-34.96102778;;25/04/2021;09:20
65;65;-7.53025;-34.96086111;-7.53025;-34.96086111;;25/04/2021;10:44
66;66;-7.530388889;-34.96047222;-7.530388889;-34.96047222;;25/04/2021;11:51
67;67;-7.530361111;-34.96022222;-7.530361111;-34.96022222;;25/04/2021;12:02
68;68;-7.530333333;-34.96019444;-7.530333333;-34.96019444;;01/05/2021;11:20
69;69;-7.531916667;-34.96144444;-7.531916667;-34.96144444;;01/05/2021;11:44
70;70;-7.518583333;-34.96602778;-7.518583333;-34.96602778;;01/05/2021;12:03
71;71;-7.51725;-34.96811111;-7.51725;-34.96811111;;01/05/2021;12:40
72;72;-7.516555556;-34.96861111;-7.516555556;-34.96861111;;01/05/2021;12:43
73;73;-7.515611111;-34.96991667;-7.515611111;-34.96991667;;01/05/2021;12:48
74;74;-7.515333333;-34.97030556;-7.515333333;-34.97030556;;01/05/2021;12:59
75;75;-7.529583333;-34.96130556;-7.529583333;-34.96130556;;01/05/2021;13:02
76;76;-7.529972222;-34.96108333;-7.529972222;-34.96108333;;01/05/2021;13:07
77;77;-7.529972222;-34.96105556;-7.529972222;-34.96105556;;01/05/2021;13:24
78;78;-7.530111111;-34.96091667;-7.530111111;-34.96091667;;01/05/2021;13:41
79;79;-7.530194444;-34.961;-7.530194444;-34.961;;01/05/2021;13:56
80;80;-7.530361111;-34.96088889;-7.530361111;-34.96088889;;01/05/2021;14:05
81;81;-7.517527778;-34.96708333;-7.517527778;-34.96708333;;01/05/2021;14:58
82;82;-7.517555556;-34.96719444;-7.517555556;-34.96719444;;02/05/2021;09:20
83;83;-7.517472222;-34.96766667;-7.517472222;-34.96766667;;02/05/2021;10:16
84;84;-7.517916667;-34.9675;-7.517916667;-34.9675;;02/05/2021;10:32
85;85;-7.517333333;-34.96772222;-7.517333333;-34.96772222;;02/05/2021;10:54
86;86;-7.519277778;-34.96625;-7.519277778;-34.96625;;02/05/2021;10:59
87;87;-7.523166667;-34.96433333;-7.523166667;-34.96433333;;02/05/2021;14:59
88;88;-7.524361111;-34.96388889;-7.524361111;-34.96388889;;02/05/2021;15:07
89;89;-7.524638889;-34.96347222;-7.524638889;-34.96347222;;02/05/2021;15:10
90;90;-7.524777778;-34.96261111;-7.524777778;-34.96261111;;02/05/2021;15:19
91;91;-7.525416667;-34.96258333;-7.525416667;-34.96258333;;02/05/2021;15:34
92;92;-7.525416667;-34.9625;-7.525416667;-34.9625;;02/05/2021;15:39
93;93;-7.5265;-34.96233333;-7.5265;-34.96233333;;06/05/2021;09:00
94;94;-7.520305556;-34.96566667;-7.520305556;-34.96566667;;06/05/2021;09:25
95;95;-7.525333333;-34.96375;-7.525333333;-34.96375;;06/05/2021;09:45
96;96;-7.526972222;-34.96277778;-7.526972222;-34.96277778;;06/05/2021;09:57
97;97;-7.527277778;-34.96241667;-7.527277778;-34.96241667;;06/05/2021;10:21
98;98;-7.527694444;-34.96211111;-7.527694444;-34.96211111;;06/05/2021;10:48
99;99;-7.528333333;-34.96208333;-7.528333333;-34.96208333;;06/05/2021;11:36
100;100;-7.52875;-34.96183333;-7.52875;-34.96183333;;06/05/2021;12:02
101;101;-7.530055556;-34.96375;-7.530055556;-34.96375;;06/05/2021;12:13
102;102;-7.530722222;-34.96077778;-7.530722222;-34.96077778;;06/05/2021;12:23
103;103;-7.530555556;-34.96047222;-7.530555556;-34.96047222;;06/05/2021;12:32
104;104;-7.530333333;-34.96052778;-7.530333333;-34.96052778;;06/05/2021;12:50
105;105;-7.530722222;-34.96083333;-7.530722222;-34.96083333;;06/05/2021;13:01
106;106;-7.530666667;-34.96063889;-7.530666667;-34.96063889;;06/05/2021;13:14
107;107;-7.531972222;-34.96063889;-7.531972222;-34.96063889;;08/05/2021;09:12
108;108;-7.520222222;-34.96569444;-7.520222222;-34.96569444;;08/05/2021;10:39
109;109;-7.52;-34.96505556;-7.52;-34.96505556;;08/05/2021;11:07
110;110;-7.520277778;-34.96513889;-7.520277778;-34.96513889;;08/05/2021;11:41
111;111;-7.520333333;-34.96522222;-7.520333333;-34.96522222;;08/05/2021;11:49
112;112;-7.519333333;-34.96577778;-7.519333333;-34.96577778;;08/05/2021;12:04
113;113;-7.519333333;-34.96577778;-7.519333333;-34.96577778;;08/05/2021;12:14
114;114;-7.51875;-34.96566667;-7.51875;-34.96566667;;08/05/2021;12:52
115;115;-7.518472222;-34.96583333;-7.518472222;-34.96583333;;08/05/2021;13:09
116;116;-7.518944444;-34.9665;-7.518944444;-34.9665;;08/05/2021;13:29
117;117;-7.518972222;-34.96652778;-7.518972222;-34.96652778;;08/05/2021;13:48
118;118;-7.531222222;-34.96016667;-7.531222222;-34.96016667;;08/05/2021;13:53
119;119;-7.530583333;-34.96088889;-7.530583333;-34.96088889;;08/05/2021;14:11
120;120;-7.520694444;-34.96116667;-7.520694444;-34.96116667;;08/05/2021;14:28
121;121;-7.520444444;-34.96119444;-7.520444444;-34.96119444;;16/05/2021;09:05
122;122;-7.520638889;-34.96155556;-7.520638889;-34.96155556;;16/05/2021;09:16
123;123;-7.520527778;-34.96175;-7.520527778;-34.96175;;16/05/2021;09:36
124;124;-7.520722222;-34.96216667;-7.520722222;-34.96216667;;16/05/2021;09:43
125;125;-7.520611111;-34.96227778;-7.520611111;-34.96227778;;16/05/2021;10:03
126;126;-7.523694444;-34.96313889;-7.523694444;-34.96313889;;16/05/2021;10:10
127;127;-7.524861111;-34.96272222;-7.524861111;-34.96272222;;16/05/2021;10:42
128;128;-7.525361111;-34.96183333;-7.525361111;-34.96183333;;16/05/2021;10:54
129;129;-7.519916667;-34.96202778;-7.519916667;-34.96202778;;16/05/2021;11:15
130;130;-7.5205;-34.96161111;-7.5205;-34.96161111;;16/05/2021;11:25
131;131;-7.523111111;-34.96244444;-7.523111111;-34.96244444;;17/05/2021;12:44
132;132;-7.523111111;-34.96247222;-7.523111111;-34.96247222;;17/05/2021;13:09
133;133;-7.525777778;-34.96233333;-7.525777778;-34.96233333;;20/05/2021;10:09
134;134;-7.526444444;-34.9625;-7.526444444;-34.9625;;20/05/2021;10:16
135;135;-7.5265;-34.96266667;-7.5265;-34.96266667;;20/05/2021;10:24
136;136;-7.527055556;-34.96294444;-7.527055556;-34.96294444;;20/05/2021;10:39
137;137;-7.526972222;-34.96258333;-7.526972222;-34.96258333;;20/05/2021;10:58
138;138;-7.527388889;-34.96252778;-7.527388889;-34.96252778;;20/05/2021;11:06
139;139;-7.528055556;-34.96211111;-7.528055556;-34.96211111;;20/05/2021;12:03
140;140;-7.528027778;-34.96211111;-7.528027778;-34.96211111;;20/05/2021;12:27
141;141;-7.529222222;-34.96236111;-7.529222222;-34.96236111;;20/05/2021;12:44
